,algo_volatility,algorithm_period_return,alpha,amount,benchmark_period_return,benchmark_volatility,beta,brick_size,capital_used,ending_cash,ending_exposure,ending_value,excess_return,gross_leverage,information,long_exposure,long_value,longs_count,max_drawdown,max_leverage,net_leverage,num_created_bars,orders,period_close,period_label,period_open,pnl,portfolio_value,positions,price,rebuilding_status,renko_price,returns,sharpe,short_exposure,short_value,shorts_count,sortino,starting_cash,starting_exposure,starting_value,trading_days,transactions,treasury_period_return
2017-12-01 23:59:00+00:00,,0.0,,0.0,-0.02722397910078378,,,0.001289587487908798,0.0,10.0,0.0,0.0,-0.001,0.0,,0.0,0.0,0,0.0,0.0,0.0,0,"[{'id': 'f4185a24d4bb48d4b312fdb7075ab1c2', 'dt': Timestamp('2017-12-01 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-01 23:59:00+0000', tz='UTC'), 'amount': -235.57126030624264, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'status': 0}]",2017-12-01 23:59:00+00:00,2017-12,2017-12-01 00:00:00+00:00,0.0,10.0,[],0.043694000000000004,1,0.0434558250241824,0.0,,0.0,0.0,0,,10.0,0.0,0.0,1,[],0.001
2017-12-02 23:59:00+00:00,0.027645470678746963,-0.0024628542756184313,-1.3241691388920636,-235.57126030624264,-0.04129428479765351,0.1432295640027171,-0.19301511438115193,0.001289587487908798,9.830730703415783,19.83073070341578,-9.855359246171966,-9.855359246171966,-0.0034628542756184313,0.987969148659151,1.822035472948967,0.0,0.0,0,-0.00246285427561844,0.987969148659151,-0.987969148659151,0,"[{'id': 'f4185a24d4bb48d4b312fdb7075ab1c2', 'dt': Timestamp('2017-12-02 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-01 23:59:00+0000', tz='UTC'), 'amount': -235.57126030624264, 'filled': -235.57126030624264, 'commission': 0.01970086313309776, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'status': 1}]",2017-12-02 23:59:00+00:00,2017-12,2017-12-02 00:00:00+00:00,-0.024628542756184757,9.975371457243815,"[{'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'amount': -235.57126030624264, 'cost_basis': 0.041731451836, 'last_sale_price': 0.041836}]","2017-12-02 00:00:00+00:00    0.04245
Freq: 1440T, Name: TradingPair(452516 [eth_btc]), dtype: float64",0,0.0434558250241824,-0.0024628542756184755,-11.224972160321826,-9.855359246171966,-9.855359246171966,1,-11.224972160321823,10.0,0.0,0.0,2,"[{'amount': -235.57126030624264, 'dt': Timestamp('2017-12-02 23:59:00+0000', tz='UTC'), 'price': 0.041815082, 'order_id': 'f4185a24d4bb48d4b312fdb7075ab1c2', 'commission': 0.01970086313309776, 'fee_currency': None, 'is_quote_live': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00}]",0.001
2017-12-03 23:59:00+00:00,0.16288981215415013,0.013909583886925647,2.9587214419174823,-235.57126030624264,-0.05722100004583153,0.10844944694545079,0.3648813584345836,0.001289587487908798,0.0,19.83073070341578,-9.691634864546526,-9.691634864546526,0.012909583886925646,0.9558677636118851,2.2179912769719845,0.0,0.0,0,-0.00246285427561844,0.987969148659151,-0.9558677636118851,-1,"[{'id': '9fc65500f19b425490d518aaccaaa5bc', 'dt': Timestamp('2017-12-03 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-03 23:59:00+0000', tz='UTC'), 'amount': 39.1048292108363, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'status': 0}]",2017-12-03 23:59:00+00:00,2017-12,2017-12-03 00:00:00+00:00,0.16372438162544078,10.139095838869256,"[{'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'amount': -235.57126030624264, 'cost_basis': 0.041731451836, 'last_sale_price': 0.04114099}]","2017-12-03 00:00:00+00:00    0.041899
Freq: 1440T, Name: TradingPair(452516 [eth_btc]), dtype: float64",0,0.042166237536273604,0.016412860646562596,7.193823356186189,-9.691634864546526,-9.691634864546526,1,51.912905097817216,19.83073070341578,-9.855359246171966,-9.855359246171966,3,[],0.001
2017-12-04 23:59:00+00:00,0.18847577513093797,0.03568344317550065,1.7648068631792964,-196.46643109540634,-0.07878454557954073,0.09265970612741267,-0.09131532048442215,0.001289587487908798,-1.5759457416254423,18.25478496179034,-7.8979505300353345,-7.8979505300353345,0.03468344317550065,0.7625834498058107,2.165128539825619,0.0,0.0,0,-0.00246285427561844,0.987969148659151,-0.7625834498058107,0,"[{'id': '9fc65500f19b425490d518aaccaaa5bc', 'dt': Timestamp('2017-12-04 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-03 23:59:00+0000', tz='UTC'), 'amount': 39.1048292108363, 'filled': 39.1048292108363, 'commission': 0.0031456002826855136, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'status': 1}]",2017-12-04 23:59:00+00:00,2017-12,2017-12-04 00:00:00+00:00,0.21773859288574826,10.356834431755004,"[{'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'amount': -196.46643109540634, 'cost_basis': 0.04171544095686331, 'last_sale_price': 0.0402}]","2017-12-04 00:00:00+00:00    0.041184
Freq: 1440T, Name: TradingPair(452516 [eth_btc]), dtype: float64",0,0.042166237536273604,0.02147514890341851,11.84122883025354,-7.8979505300353345,-7.8979505300353345,1,114.16771825236187,19.83073070341578,-9.691634864546526,-9.691634864546526,4,"[{'amount': 39.1048292108363, 'dt': Timestamp('2017-12-04 23:59:00+0000', tz='UTC'), 'price': 0.040220099999999995, 'order_id': '9fc65500f19b425490d518aaccaaa5bc', 'commission': 0.0031456002826855136, 'fee_currency': None, 'is_quote_live': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00}]",0.001
2017-12-05 23:59:00+00:00,0.1978399793742709,0.06116513928857503,-1.1966149894398455,-196.46643109540634,-0.10850634767862866,0.11688119129551822,-0.7384841348534981,0.001289587487908798,0.0,18.25478496179034,-7.6431335689045925,-7.6431335689045925,0.06016513928857503,0.7202586370325635,2.038659781292909,0.0,0.0,0,-0.00246285427561844,0.987969148659151,-0.7202586370325635,-1,"[{'id': '3cf3e2de4fa24325b4b3f787f6b0f225', 'dt': Timestamp('2017-12-05 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-05 23:59:00+0000', tz='UTC'), 'amount': 32.613427561837455, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'status': 0}]",2017-12-05 23:59:00+00:00,2017-12,2017-12-05 00:00:00+00:00,0.2548169611307429,10.611651392885747,"[{'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'amount': -196.46643109540634, 'cost_basis': 0.04171544095686331, 'last_sale_price': 0.038903}]","2017-12-05 00:00:00+00:00    0.040201
Freq: 1440T, Name: TradingPair(452516 [eth_btc]), dtype: float64",0,0.040876650048364806,0.02460374961189403,15.292444003665302,-7.6431335689045925,-7.6431335689045925,1,173.03620150729895,18.25478496179034,-7.8979505300353345,-7.8979505300353345,5,[],0.001
2017-12-06 23:59:00+00:00,0.931237930082429,0.22360921891514352,-1.2153356764353986,-163.85300353356888,-0.29827214812777847,1.2369032763366514,-0.7417918251015658,0.001289587487908798,-1.0011860984339618,17.253598863356377,-5.017506674204946,-5.017506674204946,0.22260921891514351,0.4100579332553156,0.6606213949469522,0.0,0.0,0,-0.00246285427561844,0.987969148659151,-0.4100579332553156,-1,"[{'id': '3cf3e2de4fa24325b4b3f787f6b0f225', 'dt': Timestamp('2017-12-06 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-05 23:59:00+0000', tz='UTC'), 'amount': 32.613427561837455, 'filled': 32.613427561837455, 'commission': 0.0019983754459759716, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'status': 1}, {'id': 'c6908bcbaa254625b51a8b5c51f3f163', 'dt': Timestamp('2017-12-06 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-06 23:59:00+0000', tz='UTC'), 'amount': 27.19959858657245, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'status': 0}]",2017-12-06 23:59:00+00:00,2017-12,2017-12-06 00:00:00+00:00,1.6244407962656844,12.236092189151432,"[{'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'amount': -163.85300353356888, 'cost_basis': 0.04170324480907914, 'last_sale_price': 0.030622}]","2017-12-06 00:00:00+00:00    0.038865
Freq: 1440T, Name: TradingPair(452516 [eth_btc]), dtype: float64",0,0.03958706256045601,0.1530808670698267,9.611518316659668,-5.017506674204946,-5.017506674204946,1,560.7758388373917,18.25478496179034,-7.6431335689045925,-7.6431335689045925,6,"[{'amount': 32.613427561837455, 'dt': Timestamp('2017-12-06 23:59:00+0000', tz='UTC'), 'price': 0.030637310999999997, 'order_id': '3cf3e2de4fa24325b4b3f787f6b0f225', 'commission': 0.0019983754459759716, 'fee_currency': None, 'is_quote_live': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00}]",0.001
2017-12-07 23:59:00+00:00,0.8825068676063251,0.3153933909818236,-0.6853896131777548,-136.65340494699643,-0.42687565882946044,1.368553062982238,-0.6027857062835574,0.001289587487908798,-0.681963295813763,16.571635567542614,-3.417701657724381,-3.417701657724381,0.3143933909818236,0.2598235388101937,0.8164069923636427,0.0,0.0,0,-0.00246285427561844,0.987969148659151,-0.2598235388101937,-6,"[{'id': 'c6908bcbaa254625b51a8b5c51f3f163', 'dt': Timestamp('2017-12-07 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-06 23:59:00+0000', tz='UTC'), 'amount': 27.19959858657245, 'filled': 27.19959858657245, 'commission': 0.001361204183261004, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'status': 1}, {'id': '154a217901cd4bc08a7c50e16442a896', 'dt': Timestamp('2017-12-07 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-07 23:59:00+0000', tz='UTC'), 'amount': 22.684465221201407, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'status': 0}]",2017-12-07 23:59:00+00:00,2017-12,2017-12-07 00:00:00+00:00,0.9178417206668019,13.153933909818234,"[{'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'amount': -136.65340494699643, 'cost_basis': 0.0416932838118849, 'last_sale_price': 0.02501}]","2017-12-07 00:00:00+00:00    0.030569
Freq: 1440T, Name: TradingPair(452516 [eth_btc]), dtype: float64",0,0.031849537633003216,0.07501101711873044,11.753277835476593,-3.417701657724381,-3.417701657724381,1,701.9192128266553,17.253598863356377,-5.017506674204946,-5.017506674204946,7,"[{'amount': 27.19959858657245, 'dt': Timestamp('2017-12-07 23:59:00+0000', tz='UTC'), 'price': 0.025022505, 'order_id': 'c6908bcbaa254625b51a8b5c51f3f163', 'commission': 0.001361204183261004, 'fee_currency': None, 'is_quote_live': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00}]",0.001
2017-12-08 23:59:00+00:00,0.9096844621967383,0.2757970902832225,1.7839978574264164,-113.96893972579502,-0.3607408680507813,1.6495291827515624,-0.5109017317319787,0.001289587487908798,-0.6343882618090122,15.937247305733603,-3.1792764029013805,-3.1792764029013805,0.2747970902832225,0.24919922040232845,0.5144304546979143,0.0,0.0,0,-0.0301022499961368,0.987969148659151,-0.24919922040232845,-5,"[{'id': '154a217901cd4bc08a7c50e16442a896', 'dt': Timestamp('2017-12-08 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-07 23:59:00+0000', tz='UTC'), 'amount': 22.684465221201407, 'filled': 22.684465221201407, 'commission': 0.0012662440355469306, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'status': 1}, {'id': '0a56f45b0e4c4d8d9a3d9b6b69fba43e', 'dt': Timestamp('2017-12-08 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-08 23:59:00+0000', tz='UTC'), 'amount': 18.918843994481975, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'status': 0}]",2017-12-08 23:59:00+00:00,2017-12,2017-12-08 00:00:00+00:00,-0.39596300698601006,12.757970902832223,"[{'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'amount': -113.96893972579502, 'cost_basis': 0.04168217338093245, 'last_sale_price': 0.02789599}]","2017-12-08 00:00:00+00:00    0.02501
Freq: 1440T, Name: TradingPair(452516 [eth_btc]), dtype: float64",0,0.025401600193459224,-0.03010224999613683,8.934508962977722,-3.1792764029013805,-3.1792764029013805,1,47.94667675968663,16.571635567542614,-3.417701657724381,-3.417701657724381,8,"[{'amount': 22.684465221201407, 'dt': Timestamp('2017-12-08 23:59:00+0000', tz='UTC'), 'price': 0.027909937995, 'order_id': '154a217901cd4bc08a7c50e16442a896', 'commission': 0.0012662440355469306, 'fee_currency': None, 'is_quote_live': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00}]",0.001
2017-12-09 23:59:00+00:00,0.9143347557702521,0.23628376878261026,2.777049511322059,-95.05009573131305,-0.2815894403959849,1.7943531738216718,-0.4729575505455593,0.001289587487908798,-0.5945891167308367,15.342658189002766,-2.9798205011766643,-2.9798205011766643,0.23528376878261026,0.2410304637511293,0.32922865392826606,0.0,0.0,0,-0.060141416812323385,0.987969148659151,-0.2410304637511293,0,"[{'id': '0a56f45b0e4c4d8d9a3d9b6b69fba43e', 'dt': Timestamp('2017-12-09 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-08 23:59:00+0000', tz='UTC'), 'amount': 18.918843994481975, 'filled': 18.918843994481975, 'commission': 0.001186804624213247, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'status': 1}]",2017-12-09 23:59:00+00:00,2017-12,2017-12-09 00:00:00+00:00,-0.39513321500612264,12.3628376878261,"[{'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'amount': -95.05009573131305, 'cost_basis': 0.04166968728488928, 'last_sale_price': 0.03135}]","2017-12-09 00:00:00+00:00    0.027946
Freq: 1440T, Name: TradingPair(452516 [eth_btc]), dtype: float64",0,0.025401600193459224,-0.03097147798937247,6.952943296074322,-2.9798205011766643,-2.9798205011766643,1,27.77196018906472,15.937247305733603,-3.1792764029013805,-3.1792764029013805,9,"[{'amount': 18.918843994481975, 'dt': Timestamp('2017-12-09 23:59:00+0000', tz='UTC'), 'price': 0.031365675, 'order_id': '0a56f45b0e4c4d8d9a3d9b6b69fba43e', 'commission': 0.001186804624213247, 'fee_currency': None, 'is_quote_live': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00}]",0.001
2017-12-10 23:59:00+00:00,0.8624498639581553,0.260949268624886,2.1374405743688505,-95.05009573131305,-0.3410559604014848,1.7123203028356955,-0.4592614237794899,0.001289587487908798,0.0,15.342658189002766,-2.7331655027539066,-2.7331655027539066,0.259949268624886,0.2167545967756918,0.37749316618418594,0.0,0.0,0,-0.060141416812323385,0.987969148659151,-0.2167545967756918,3,"[{'id': '4de3c194583e44989c416f4bc30b4533', 'dt': Timestamp('2017-12-10 23:59:00+0000', tz='UTC'), 'reason': None, 'created': Timestamp('2017-12-10 23:59:00+0000', tz='UTC'), 'amount': 95.05009573131305, 'filled': 0, 'commission': 0, 'stop': None, 'limit': None, 'stop_reached': False, 'limit_reached': False, 'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'status': 0}]",2017-12-10 23:59:00+00:00,2017-12,2017-12-10 00:00:00+00:00,0.24665499842275906,12.60949268624886,"[{'sid': Trading Pair eth_btc(452516) Exchange: bitfinex, Introduced On: 2016-03-09 00:00:00+00:00, Base Currency: eth, Quote Currency: btc, Exchange Leverage: 1.0, Minimum Trade Size: 0.06 Last daily ingestion: 2018-11-13 00:00:00+00:00 Last minutely ingestion: 2018-11-13 00:00:00+00:00, 'amount': -95.05009573131305, 'cost_basis': 0.04166968728488928, 'last_sale_price': 0.028755}]","2017-12-10 00:00:00+00:00    0.03133
Freq: 1440T, Name: TradingPair(452516 [eth_btc]), dtype: float64",0,0.030559950145094418,0.01995132546839505,7.217068030700075,-2.7331655027539066,-2.7331655027539066,1,28.66196889649707,15.342658189002766,-2.9798205011766643,-2.9798205011766643,10,[],0.001
